index,input,reference,max_jaccard_train_2gram,max_jaccard_dev_2gram,max_jaccard_synth_2gram,max_jaccard_train_3gram,max_jaccard_dev_3gram,max_jaccard_synth_3gram,max_jaccard_train_4gram,max_jaccard_dev_4gram,max_jaccard_synth_4gram
16,𗓰𗾟𘂚𘃽𗒹𗛆𗹙𘅫,深廣雙入七枝法事,0.1,0.0,0.0435,0.0,0.0,0.0,0.0,0.0,0.0
17,𘋢𗥤𘝦𗗙𗍫𗑝𗆔,菩薩業之二節綱,0.2222,0.2857,0.0625,0.125,0.1667,0.0,0.0,0.0,0.0
18,𗢳𘎪𘈟𗐜𗟥𘋢𗥤𗞞𗤄𗖰𗚩,佛説障蓋除菩薩問經,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,𗣼𗟭𘞫𗗙𗣃𗧘𗏴𗭪,正理滴之句義顯具,0.1667,0.1333,0.0,0.0909,0.0714,0.0,0.0,0.0,0.0
20,𗰖𗖍𘄒𘎑𘏞𗓽𗕥𗸰𗖰𗚩,集頌般若波羅蜜多經,0.6667,0.4167,0.0345,0.625,0.3636,0.0167,0.5714,0.3,0.0
21,𗍥𘟙𗘅𗴺𗖵𗑗𘛧𗳒𗹝𘆖𘃡𗡶,金剛王亥母隨淨瓶以親誦作順,0.3529,0.3333,0.0,0.2353,0.2222,0.0,0.1875,0.1765,0.0
22,𗄭𘚢𗴿𗒀𘃡𗡶𘐡,聚輪供養作次第,0.375,0.1111,0.037,0.2857,0.0,0.0,0.1667,0.0,0.0
23,𗵒𗒛𘁨,金乘序,0.0,0.3333,0.0108,0.0,0.0,0.0,0.0,0.0,0.0
24,𗩾𗨁𗉣𗖰𗚩,最上意經,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
25,𗢳𘎪𘗽𘍭𗆄𗢳𘝯𗖰𗚩𗼫𗿧𘋓,佛説智(?)□□佛觀經□註,0.1579,0.0588,0.0,0.0526,0.0,0.0,0.0,0.0,0.0
26,𗼑𗼑𗫉𗊱,月月樂詩,0.0,0.0,0.0222,0.0,0.0,0.0,0.0,0.0,0.0
27,𗠁𘟛𗳌𘋟𗫡𘄴𗑾𘘝𗫦𗌮𗙼𗥤𗵽𘆡𘓆𗏴𗖍,勝慧彼岸到要論教學現量解莊嚴論顯頌,0.6842,0.1379,0.0357,0.6667,0.1071,0.0,0.6471,0.0741,0.0
28,𗢭𗵫𗴿𗒀𗺉,九曜供養根,0.2857,0.3333,0.0,0.1667,0.2,0.0,0.0,0.0,0.0
29,𗰗𘈩𘅞𗾈𗥺𗤶𗖰𗚩,十一面神咒心經,0.1111,0.0714,0.0909,0.0,0.0,0.0278,0.0,0.0,0.0
30,𗙏𘙰,同音,0.0,0.0,0.0175,0.0,0.0,0.0,0.0,0.0,0.0
31,𗍥𘟙𗉃𘔅𗤶𗅁𗧯𗦇,金剛王燈炬心中所持可,0.1538,0.1176,0.08,0.0833,0.0625,0.0417,0.0,0.0,0.0
32,𗒹𗢳𘎪𗾈𗥺𗖰𗚩,七佛説神咒經,0.1429,0.2,0.0,0.0,0.0667,0.0,0.0,0.0,0.0
33,𗆧𗰖𗵒𗭭𘃎𘐏𘝞,新集碎金置掌文,0.1111,0.0,0.0303,0.0,0.0,0.0,0.0,0.0,0.0
34,𗿢𗖵𘄴𗰖𘕕𘄿𗾖𗪐𗣼𗹙𘂤𘃽𗡶,統依要集三品子□正法中入順,0.1111,0.0667,0.0588,0.0588,0.0,0.0156,0.0,0.0,0.0
35,𗫡𗾈,到賢,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,𗯨𗣈𗒹𗵘𗹙𘅫,世離七道法事,0.1667,0.0,0.0476,0.0909,0.0,0.0,0.0,0.0,0.0
37,𗼃𗤁𗏇𘗽𘎲𘜶𗶈𘟙𗁬𗓽𘆵𗖰𗚩,聖六字壽增大蔭王陀羅尼經,0.2143,0.0909,0.0137,0.1538,0.0476,0.0,0.0833,0.0,0.0
38,𗯵𘟣𗰛𗼃𗡡𘀄𘓄𗗙𗪲𗒐𗡙𗜓,壞有出聖柔吉祥之攝受讚顯,0.3077,0.1053,0.0488,0.25,0.0556,0.025,0.1818,0.0,0.0
39,𗤻𗵽𗹙𗐯𘝯𗆔,華嚴法界觀幹,0.5,0.1111,0.0,0.4286,0.0,0.0,0.3333,0.0,0.0
40,𗼇𗟲𗍥𘟙𗒛𗺉,番言金剛王乘根,0.5,0.1429,0.0,0.4286,0.0769,0.0,0.3333,0.0,0.0
41,𗴮𘊳,類林,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,𗵒𘗁𘄒𘎑𘓋𘐇𘝞,金剛般若略記文,0.5,0.0714,0.0175,0.4286,0.0,0.0,0.3333,0.0,0.0
43,𗍥𘟙𘝳𗥔𗴺𗖵𗄭𘚢𘐇𘃡𗡶𘐡,金剛王默有母隨集輪求記作順次,0.3529,0.1905,0.0222,0.2941,0.05,0.0,0.25,0.0,0.0
44,𗢳𘎪𗔀𗴺𘘖𗊢𗖰𗚩,佛説父母恩重經,0.125,0.0909,0.0714,0.0,0.0,0.0,0.0,0.0,0.0
45,𘜶𗐋𗴂𗴺𗗙𗄊𗧯𘆖𗡶𘄴𗑾,大蓋白母之總持誦順要論,0.4,0.125,0.0208,0.2667,0.0667,0.0,0.1667,0.0,0.0
46,𗣼𗟭𘞫𘈃𘍳𘃨,正理滴特殊造,0.2,0.5,0.05,0.1111,0.4444,0.0,0.0,0.375,0.0
47,𗼻𗔇𘋢𗥤𗰜𘓞𗖰𗚩,地藏菩薩本願經,0.3333,0.125,0.0,0.2,0.0,0.0,0.0,0.0,0.0
48,𗵘𗗙𘂳𗖈𗷰𗡶𘄴𗑾,道之間休止順要論,0.2,0.1538,0.04,0.1111,0.0833,0.0,0.0,0.0,0.0
49,𗓁𗱈𘋢𗥤𗣷𗄻𘓺𗨁𘎳𘝯𗖰𗚩,觀彌勒菩薩足知皇上生觀經,0.0667,0.0769,0.0625,0.0,0.0,0.02,0.0,0.0,0.0
